# units:
# wavelength_nm, sun_photons_per_s_m2_nm, asteroid_reflectance, atm_transmission, qe_e_per_photon, mirror_reflectivity

3.000000000000000000e+02,6.825456606937108480e+17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.010000000000000000e+02,6.633537205445250560e+17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.020000000000000000e+02,7.180053485309105920e+17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.030000000000000000e+02,8.464227675518988800e+17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.040000000000000000e+02,9.358758726342781440e+17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.050000000000000000e+02,9.191608436892377600e+17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.060000000000000000e+02,8.860887114871091200e+17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.070000000000000000e+02,9.047177115511293440e+17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.080000000000000000e+02,9.507669152939836160e+17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.090000000000000000e+02,8.615478966319951360e+17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+02,8.732227680696117760e+17,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.110000000000000000e+02,1.058173819555761408e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.120000000000000000e+02,1.087657507615631360e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.130000000000000000e+02,1.068207820698187520e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.140000000000000000e+02,1.077051001566561280e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.150000000000000000e+02,1.027446956409536768e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.160000000000000000e+02,1.007123598561796096e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.170000000000000000e+02,1.122912684467275008e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.180000000000000000e+02,1.151513640187026176e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.190000000000000000e+02,1.104423255285089664e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000000e+02,1.220872188019659520e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.210000000000000000e+02,1.215547351220341248e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.220000000000000000e+02,1.125031292424725248e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.230000000000000000e+02,1.097447605810360064e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.240000000000000000e+02,1.159886005303420672e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000000e+02,1.338955446697881600e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.260000000000000000e+02,1.522517333717217792e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.270000000000000000e+02,1.590317696619282432e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.280000000000000000e+02,1.544066373096241152e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.290000000000000000e+02,1.638683223247777280e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000000e+02,1.725160284468339456e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.310000000000000000e+02,1.650982702698511872e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.320000000000000000e+02,1.604961438302607360e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.330000000000000000e+02,1.572803627522058752e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.340000000000000000e+02,1.580978529416091136e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.350000000000000000e+02,1.604027483826414080e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.360000000000000000e+02,1.482314375397165056e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.370000000000000000e+02,1.400753632416465152e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.380000000000000000e+02,1.500255463432230400e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.390000000000000000e+02,1.603876334476473856e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000000e+02,1.681793761444328704e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.410000000000000000e+02,1.657133512173649408e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.420000000000000000e+02,1.650133573086481408e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.430000000000000000e+02,1.677955625120320000e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.440000000000000000e+02,1.511870428882693632e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.450000000000000000e+02,1.506741922629509632e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.460000000000000000e+02,1.624738972061512704e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.470000000000000000e+02,1.596666598581353216e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.480000000000000000e+02,1.575716115662210560e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.490000000000000000e+02,1.569786807316044288e+18,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+02,1.709107996969415680e+18,0.000000000000000000e+00,0.000000000000000000e+00,3.800333650000000119e-01,8.071565285491336672e-01
3.510000000000000000e+02,1.792949068902298624e+18,0.000000000000000000e+00,6.454225494568603949e-01,3.914829389999999742e-01,8.082798774167573308e-01
3.520000000000000000e+02,1.672154812599540480e+18,0.000000000000000000e+00,6.481867769697249315e-01,4.015469520000000125e-01,8.100637796039080740e-01
3.530000000000000000e+02,1.724688965304703232e+18,0.000000000000000000e+00,6.520834153974734981e-01,4.186773250000000446e-01,8.167629820493803594e-01
3.540000000000000000e+02,1.910484993256714752e+18,0.000000000000000000e+00,6.554942654286519677e-01,4.381850990000000223e-01,8.241592995073503403e-01
3.550000000000000000e+02,1.926423006309555200e+18,0.000000000000000000e+00,6.586402063086262970e-01,4.569961790000000024e-01,8.298646610859752304e-01
3.560000000000000000e+02,1.753716184844811264e+18,0.000000000000000000e+00,6.617156407581498145e-01,4.756462619999999863e-01,8.349185573961963591e-01
3.570000000000000000e+02,1.534914600882276864e+18,0.000000000000000000e+00,6.645497539106621776e-01,4.921583050000000181e-01,8.399506035538254478e-01
3.580000000000000000e+02,1.342159913598950912e+18,0.000000000000000000e+00,6.674900294069793238e-01,5.062788580000000538e-01,8.441912703805769524e-01
3.590000000000000000e+02,1.522709636970097920e+18,0.000000000000000000e+00,6.702936596822478554e-01,5.192179590000000067e-01,8.479279663415312251e-01
3.600000000000000000e+02,1.777732444753587456e+18,0.000000000000000000e+00,6.730397627162816310e-01,5.319702120000000534e-01,8.512395170536322109e-01
3.610000000000000000e+02,1.679901185320760832e+18,0.000000000000000000e+00,6.762057331489986778e-01,5.439070619999999412e-01,8.550848341260535168e-01
3.620000000000000000e+02,1.709424013636943360e+18,0.000000000000000000e+00,6.798651788944017893e-01,5.542234209999999939e-01,8.592771865286622512e-01
3.630000000000000000e+02,1.822540612909628160e+18,0.000000000000000000e+00,6.834738756689634487e-01,5.632705470000000103e-01,8.632589474543208574e-01
3.640000000000000000e+02,1.841509164136129024e+18,0.000000000000000000e+00,6.867491527672160423e-01,5.724645819999999441e-01,8.663149028825163356e-01
3.650000000000000000e+02,1.989217317843940864e+18,0.000000000000000000e+00,6.898094617085626101e-01,5.819754449999999801e-01,8.690552474220281098e-01
3.660000000000000000e+02,2.197267287347345920e+18,0.000000000000000000e+00,6.928670487940304934e-01,5.903338310000000311e-01,8.716123147822949502e-01
3.670000000000000000e+02,2.228967119373162496e+18,0.000000000000000000e+00,6.957848198587593957e-01,5.971575519999999804e-01,8.744999347457205197e-01
3.680000000000000000e+02,2.112739436061736448e+18,0.000000000000000000e+00,6.986489431887570323e-01,6.037109419999999727e-01,8.774488829325741701e-01
3.690000000000000000e+02,2.161462133260698624e+18,0.000000000000000000e+00,7.014838257953949219e-01,6.113072429999999446e-01,8.791203099349984562e-01
3.700000000000000000e+02,2.202442359178780160e+18,0.000000000000000000e+00,7.042897208594295355e-01,6.180537870000000211e-01,8.823545920266484544e-01
3.710000000000000000e+02,2.160924741317113344e+18,0.000000000000000000e+00,7.070668176783777570e-01,6.236062949999999772e-01,8.873751068109119178e-01
3.720000000000000000e+02,2.086962242177634048e+18,0.000000000000000000e+00,7.098154342282064766e-01,6.290483100000000549e-01,8.907931181365376094e-01
3.730000000000000000e+02,1.853334429806201088e+18,0.000000000000000000e+00,7.125358178705554213e-01,6.351798260000000029e-01,8.924688475109180397e-01
3.740000000000000000e+02,1.713851141599354624e+18,0.000000000000000000e+00,7.152033732815051836e-01,6.406176639999999756e-01,8.935506178628306317e-01
3.750000000000000000e+02,1.852506569336668928e+18,0.000000000000000000e+00,7.178419761054432024e-01,6.449746469999999565e-01,8.949983814861912634e-01
3.760000000000000000e+02,2.031979621026932736e+18,0.000000000000000000e+00,7.204030875194468164e-01,6.504545699999999542e-01,8.966477721498725684e-01
3.770000000000000000e+02,2.246367543288873984e+18,0.000000000000000000e+00,7.228555974941518469e-01,6.554261680000000867e-01,8.982051899057217348e-01
3.780000000000000000e+02,2.482384547383262720e+18,0.000000000000000000e+00,7.251411031135548413e-01,6.592350059999999567e-01,8.996319634771524631e-01
3.790000000000000000e+02,2.282509983185546752e+18,0.000000000000000000e+00,7.273955056983211209e-01,6.636362479999999842e-01,9.012579185137633564e-01
3.800000000000000000e+02,2.169472671248800768e+18,0.000000000000000000e+00,7.297720168198178481e-01,6.682824830000000382e-01,9.025222287745546801e-01
3.810000000000000000e+02,2.190203163273941504e+18,0.000000000000000000e+00,7.324601332882439975e-01,6.726956060000000015e-01,9.041946469436711320e-01
3.820000000000000000e+02,1.800842563680205824e+18,0.000000000000000000e+00,7.352681546596185891e-01,6.767627140000000985e-01,9.062549062258167254e-01
3.830000000000000000e+02,1.422199849964596224e+18,0.000000000000000000e+00,7.379771512985877635e-01,6.803026959999999290e-01,9.076021487684680089e-01
3.840000000000000000e+02,1.589162366867031552e+18,0.000000000000000000e+00,7.405546838440723034e-01,6.839116350000000732e-01,9.088071296187125725e-01
3.850000000000000000e+02,1.906894787173657600e+18,0.000000000000000000e+00,7.430194225180768441e-01,6.879744089999999535e-01,9.103144389931809854e-01
3.860000000000000000e+02,1.957741504005380096e+18,0.000000000000000000e+00,7.454473922621219772e-01,6.914957739999999520e-01,9.119036735682853889e-01
3.870000000000000000e+02,1.958914453165617664e+18,0.000000000000000000e+00,7.477991913232482357e-01,6.952363120000000229e-01,9.133707116395403114e-01
3.880000000000000000e+02,1.941785997397467648e+18,0.000000000000000000e+00,7.501265873893775415e-01,6.992897979999999070e-01,9.145685276102638595e-01
3.890000000000000000e+02,2.113507264691200768e+18,0.000000000000000000e+00,7.524297999844631324e-01,7.018237980000000542e-01,9.157837376297941478e-01
3.900000000000000000e+02,2.376673133581433344e+18,0.000000000000000000e+00,7.547089352150430086e-01,7.048724210000000268e-01,9.170318899621930919e-01
3.910000000000000000e+02,2.548135143871938048e+18,0.000000000000000000e+00,7.569702385533818578e-01,7.090245559999999170e-01,9.182692320290680721e-01
3.920000000000000000e+02,2.329161141416965120e+18,0.000000000000000000e+00,7.592237100781739079e-01,7.121237600000001056e-01,9.195337232514142478e-01
3.930000000000000000e+02,1.583462614236345088e+18,0.000000000000000000e+00,7.614325430724551147e-01,7.150569430000000004e-01,9.203709627730660703e-01
3.940000000000000000e+02,1.595543235469305856e+18,0.000000000000000000e+00,7.636186726146866333e-01,7.179854720000000690e-01,9.215947571583043008e-01
3.950000000000000000e+02,2.326879428082726400e+18,0.000000000000000000e+00,7.657814402420943800e-01,7.203698939999999551e-01,9.224738677297195100e-01
3.960000000000000000e+02,2.160885097649143808e+18,0.000000000000000000e+00,7.679224117798376659e-01,7.236059810000000647e-01,9.232723682145591582e-01
3.970000000000000000e+02,1.782095513582676480e+18,0.000000000000000000e+00,7.700312098388109039e-01,7.270030250000000249e-01,9.246328752625182501e-01
3.980000000000000000e+02,2.455931523349967360e+18,0.000000000000000000e+00,7.721269783280811927e-01,7.294217570000001150e-01,9.257896204698881082e-01
3.990000000000000000e+02,3.198892875499900416e+18,0.000000000000000000e+00,7.741985822174931586e-01,7.321813349999999332e-01,9.266154729478879304e-01
4.000000000000000000e+02,3.367847895739768832e+18,0.000000000000000000e+00,7.762342137778797113e-01,7.353374400000000088e-01,9.274163528193570816e-01
4.010000000000000000e+02,3.460099340369130496e+18,0.000000000000000000e+00,7.782673520650906784e-01,7.383156239999999482e-01,9.282266625432897822e-01
4.020000000000000000e+02,3.546576653295520768e+18,0.000000000000000000e+00,7.802730016579934036e-01,7.408939669999999866e-01,9.290588613029733267e-01
4.030000000000000000e+02,3.492396973737342464e+18,0.000000000000000000e+00,7.822677657593738454e-01,7.433162930000000168e-01,9.298841075176126347e-01
4.040000000000000000e+02,3.414709228337881600e+18,0.000000000000000000e+00,7.842378353161213456e-01,7.458394560000001228e-01,9.307272622232281023e-01
4.050000000000000000e+02,3.405835339358445568e+18,0.000000000000000000e+00,7.861861165697970888e-01,7.484227880000000610e-01,9.315641237536796959e-01
4.060000000000000000e+02,3.327291794142502912e+18,0.000000000000000000e+00,7.881091134495046280e-01,7.505661790000001110e-01,9.324005125598693322e-01
4.070000000000000000e+02,3.295681317685760000e+18,0.000000000000000000e+00,7.900350422334578848e-01,7.525945230000000707e-01,9.332169569968652434e-01
4.080000000000000000e+02,3.453800402013992960e+18,0.000000000000000000e+00,7.919053045806794255e-01,7.551408619999999683e-01,9.337161803549332006e-01
4.090000000000000000e+02,3.551669920732732928e+18,0.000000000000000000e+00,7.937609997566116293e-01,7.573135259999999036e-01,9.343961422338178391e-01
